epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.5537,1.85575,2.46108,1.54404,0.56253,0.32233,0.33799,0.16577,1.71507,1.44673,1.48965,0.0701724,0.00331418,0.00331418
2,131.548,1.7122,1.58188,1.42066,0.66056,0.33553,0.36897,0.1846,1.71228,1.48466,1.47287,0.0401713,0.00664638,0.00664638
3,193.355,1.75445,1.60767,1.45938,0.48028,0.36874,0.32996,0.15892,1.79828,1.56847,1.50617,0.0101656,0.00997407,0.00997407
4,254.599,1.80879,1.66385,1.49316,0.4901,0.38787,0.33008,0.16281,1.82545,1.77696,1.55178,0.00998474,0.00998474,0.00998474
5,315.663,1.79232,1.63786,1.50111,0.46105,0.37749,0.37077,0.16976,1.84345,1.61495,1.60077,0.00997288,0.00997288,0.00997288
6,376.811,1.77042,1.56441,1.4749,0.48384,0.37563,0.41098,0.22485,1.83451,1.53946,1.54788,0.00995765,0.00995765,0.00995765
7,437.914,1.74785,1.50944,1.46465,0.57579,0.37552,0.37466,0.18387,1.80598,1.51743,1.54328,0.00993906,0.00993906,0.00993906
8,499.14,1.73572,1.48402,1.45895,0.5976,0.4417,0.4547,0.22922,1.73826,1.37672,1.51589,0.00991711,0.00991711,0.00991711
9,560.373,1.72507,1.47062,1.4592,0.44432,0.55226,0.49032,0.27098,1.72398,1.34549,1.49581,0.00989183,0.00989183,0.00989183
10,621.498,1.71319,1.43959,1.44851,0.60042,0.4758,0.45821,0.22849,1.73833,1.3726,1.51351,0.00986323,0.00986323,0.00986323
11,682.557,1.71401,1.41769,1.44748,0.59018,0.43367,0.46733,0.23007,1.68353,1.32886,1.47755,0.00983133,0.00983133,0.00983133
12,743.67,1.69226,1.39441,1.42828,0.58559,0.5122,0.50623,0.24522,1.69776,1.30729,1.48284,0.00979616,0.00979616,0.00979616
13,804.691,1.66945,1.3438,1.42205,0.59515,0.48197,0.50275,0.27093,1.70645,1.27627,1.46726,0.00975773,0.00975773,0.00975773
14,865.904,1.6436,1.33925,1.41036,0.57097,0.49228,0.51796,0.25466,1.66696,1.30223,1.45032,0.00971608,0.00971608,0.00971608
15,926.942,1.62183,1.30739,1.38964,0.5786,0.48558,0.46949,0.2364,1.75451,1.37818,1.51116,0.00967122,0.00967122,0.00967122
16,988.072,1.63671,1.29141,1.40191,0.56251,0.52594,0.53503,0.29248,1.66876,1.22498,1.44616,0.0096232,0.0096232,0.0096232
17,1049.19,1.61933,1.27639,1.38535,0.63053,0.56606,0.61023,0.33432,1.61775,1.15917,1.43718,0.00957205,0.00957205,0.00957205
18,1110.41,1.60963,1.251,1.37435,0.59242,0.56044,0.58568,0.33255,1.65201,1.20328,1.43497,0.0095178,0.0095178,0.0095178
19,1171.72,1.59818,1.22368,1.36809,0.61855,0.56628,0.60188,0.30905,1.64683,1.15911,1.43482,0.00946048,0.00946048,0.00946048
20,1232.75,1.58685,1.22213,1.37002,0.58766,0.5715,0.57814,0.31071,1.66616,1.14275,1.45259,0.00940014,0.00940014,0.00940014
21,1293.77,1.57944,1.19128,1.35433,0.61787,0.57313,0.62805,0.3575,1.59931,1.11031,1.414,0.00933683,0.00933683,0.00933683
22,1354.76,1.5594,1.17858,1.34929,0.60696,0.54065,0.56501,0.31545,1.6163,1.13699,1.42623,0.00927057,0.00927057,0.00927057
23,1415.77,1.55502,1.17258,1.3495,0.56583,0.65918,0.62797,0.35138,1.60874,1.07867,1.41063,0.00920142,0.00920142,0.00920142
24,1476.73,1.5367,1.14435,1.33398,0.53538,0.66775,0.65439,0.36334,1.58786,1.06823,1.39553,0.00912942,0.00912942,0.00912942
25,1537.81,1.53385,1.13505,1.33258,0.57915,0.63834,0.64484,0.35027,1.58198,1.0582,1.38868,0.00905463,0.00905463,0.00905463
26,1598.75,1.52784,1.12686,1.32395,0.60965,0.6198,0.6599,0.37919,1.57247,1.06757,1.38232,0.0089771,0.0089771,0.0089771
27,1659.8,1.50381,1.08801,1.30775,0.63073,0.62809,0.66708,0.37357,1.55986,1.02795,1.36891,0.00889687,0.00889687,0.00889687
28,1720.89,1.49601,1.0816,1.30753,0.55581,0.65256,0.6605,0.35813,1.5654,1.01317,1.37114,0.00881401,0.00881401,0.00881401
29,1781.95,1.49224,1.06251,1.3046,0.6663,0.61245,0.66295,0.39183,1.56609,1.03446,1.38044,0.00872857,0.00872857,0.00872857
30,1843.09,1.47856,1.0574,1.29645,0.64575,0.66733,0.71004,0.41002,1.54253,0.97541,1.35716,0.0086406,0.0086406,0.0086406
31,1904.06,1.47057,1.03647,1.29141,0.67733,0.70134,0.71473,0.40845,1.54082,0.99167,1.36533,0.00855018,0.00855018,0.00855018
32,1965.05,1.44709,1.0275,1.28408,0.71986,0.6284,0.69091,0.41302,1.52151,0.97874,1.34349,0.00845736,0.00845736,0.00845736
33,2026.07,1.44627,1.02333,1.27837,0.62026,0.64827,0.67724,0.402,1.52446,0.98621,1.3445,0.0083622,0.0083622,0.0083622
34,2087.17,1.44332,1.01929,1.27573,0.66955,0.66481,0.70534,0.399,1.51533,0.96759,1.35175,0.00826477,0.00826477,0.00826477
35,2148.18,1.43402,1.00631,1.26976,0.68922,0.66901,0.72432,0.41372,1.53149,0.9493,1.35033,0.00816514,0.00816514,0.00816514
36,2209.37,1.42342,0.9887,1.26627,0.70522,0.67673,0.72012,0.41116,1.5168,0.93278,1.35415,0.00806337,0.00806337,0.00806337
37,2270.55,1.42128,0.97948,1.26029,0.66923,0.69303,0.72474,0.42167,1.50135,0.92707,1.33251,0.00795954,0.00795954,0.00795954
38,2331.67,1.40564,0.96614,1.26232,0.72558,0.71354,0.75743,0.44741,1.49784,0.91122,1.33587,0.00785371,0.00785371,0.00785371
39,2392.85,1.39434,0.94463,1.25059,0.68889,0.66814,0.73779,0.4309,1.49299,0.91793,1.32536,0.00774596,0.00774596,0.00774596
40,2454.05,1.38692,0.95172,1.24534,0.64396,0.70551,0.73622,0.44901,1.46316,0.88306,1.32158,0.00763637,0.00763637,0.00763637
41,2515.11,1.36731,0.92601,1.2303,0.70311,0.64105,0.71528,0.43165,1.46534,0.89707,1.31572,0.007525,0.007525,0.007525
42,2576.29,1.35045,0.91378,1.22374,0.69757,0.70395,0.75585,0.45471,1.46329,0.8701,1.30318,0.00741194,0.00741194,0.00741194
43,2637.4,1.35713,0.9196,1.22499,0.75602,0.6834,0.75993,0.45185,1.46067,0.89335,1.31458,0.00729725,0.00729725,0.00729725
44,2698.51,1.34698,0.90081,1.21764,0.72002,0.67461,0.75261,0.45279,1.4693,0.88685,1.315,0.00718103,0.00718103,0.00718103
45,2759.65,1.33621,0.89594,1.21996,0.70792,0.71701,0.77395,0.46934,1.46713,0.85973,1.30303,0.00706335,0.00706335,0.00706335
46,2820.89,1.32063,0.88571,1.2042,0.69725,0.75429,0.77455,0.47434,1.42261,0.84164,1.27594,0.00694428,0.00694428,0.00694428
47,2882.08,1.30923,0.86972,1.19599,0.72345,0.74998,0.78465,0.48593,1.43276,0.83473,1.28681,0.00682392,0.00682392,0.00682392
48,2943.27,1.31777,0.87426,1.20617,0.74279,0.69895,0.78508,0.48805,1.41971,0.81525,1.2814,0.00670234,0.00670234,0.00670234
49,3004.37,1.29718,0.85822,1.19352,0.73599,0.77512,0.80062,0.50617,1.40458,0.82927,1.27563,0.00657963,0.00657963,0.00657963
